detected_at_utc,symbol,signal_type,price,hh_band,ll_band
2025-11-29T11:24:59.181268+00:00,BTCUSDT,bearish_breakout,90482.40000000,90518.70000000,90487.00000000
2025-11-29T11:31:59.171428+00:00,BTCUSDT,bearish_breakout,90451.10000000,90509.20000000,90463.00000000
2025-11-29T11:39:59.446051+00:00,BTCUSDT,bullish_breakout,90535.40000000,90506.30000000,90470.00000000
2025-11-29T11:53:59.508349+00:00,BTCUSDT,bullish_breakout,90599.90000000,90587.70000000,90555.80000000
2025-11-29T12:01:59.083120+00:00,BTCUSDT,bullish_breakout,90646.70000000,90645.60000000,90555.80000000
2025-11-29T15:29:59.406934+00:00,BTCUSDT,bullish_breakout,90835.10000000,90769.80000000,90572.80000000
2025-11-29T17:14:58.695128+00:00,BTCUSDT,bearish_breakout,90667.40000000,90979.20000000,90865.90000000
2025-11-29T21:00:00.491132+00:00,BTCUSDT,bullish_breakout,90921.70000000,90819.90000000,90363.00000000
