status,open_time,close_time,symbol,side,entry_price,exit_price,position_size_usd,position_size_qty,num_fills,gross_pnl,realized_pnl,total_fees,close_reason,cumulative_wins,cumulative_losses,cumulative_pnl,cumulative_fees
LOSS,2025-12-01T11:52:17.918284+00:00,2025-11-24T14:14:59.999000+00:00,BTCUSDT,LONG,86181.87908449,86023.00000000,190.00,0.00220464,2,-0.3503,-0.3920,0.041730,SIGNAL_REVERSAL,0,1,-0.3920,0.045530
LOSS,2025-12-01T11:52:17.955444+00:00,2025-11-24T15:59:59.999000+00:00,BTCUSDT,SHORT,86371.24570495,86571.00000000,270.00,0.00312604,3,-0.6244,-0.6840,0.059525,SIGNAL_REVERSAL,0,2,-1.0760,0.110455
WIN,2025-12-01T11:52:17.990200+00:00,2025-11-24T16:29:59.999000+00:00,BTCUSDT,LONG,86307.30000000,87185.50000000,100.00,0.00115865,1,1.0175,0.9953,0.022204,SIGNAL_REVERSAL,1,2,-0.0806,0.134658
WIN,2025-12-01T11:52:18.013396+00:00,2025-11-24T17:44:59.999000+00:00,BTCUSDT,LONG,86909.76071429,87880.60000000,100.00,0.00115062,1,1.1171,1.0948,0.022223,SIGNAL_REVERSAL,2,2,1.0142,0.158882
WIN,2025-12-01T11:52:18.059026+00:00,2025-11-24T19:14:59.999000+00:00,BTCUSDT,LONG,88147.65357143,88626.00000000,100.00,0.00113446,1,0.5427,0.5206,0.022109,SIGNAL_REVERSAL,3,2,1.5348,0.182990
LOSS,2025-12-01T11:52:18.083889+00:00,2025-11-24T19:59:59.999000+00:00,BTCUSDT,LONG,88400.92500000,88277.00000000,100.00,0.00113121,1,-0.1402,-0.1622,0.021972,SIGNAL_REVERSAL,3,3,1.3726,0.206962
LOSS,2025-12-01T11:52:18.116306+00:00,2025-11-24T20:29:59.999000+00:00,BTCUSDT,SHORT,88593.98024342,88840.90000000,190.00,0.00214462,2,-0.5295,-0.5715,0.041906,SIGNAL_REVERSAL,3,4,0.8011,0.252668
WIN,2025-12-01T11:52:18.160633+00:00,2025-11-24T20:59:59.999000+00:00,BTCUSDT,LONG,88636.10000000,89018.70000000,100.00,0.00112821,1,0.4317,0.4096,0.022086,SIGNAL_REVERSAL,4,4,1.2107,0.276754
LOSS,2025-12-01T11:52:18.185657+00:00,2025-11-24T21:59:59.999000+00:00,BTCUSDT,LONG,88822.73719241,88713.30000000,200.00,0.00225168,2,-0.2464,-0.2904,0.043951,SIGNAL_REVERSAL,4,5,0.9203,0.324705
WIN,2025-12-01T11:52:18.231680+00:00,2025-11-24T23:14:59.999000+00:00,BTCUSDT,SHORT,88941.06984872,88470.50000000,190.00,0.00213625,2,1.0053,0.9637,0.041599,SIGNAL_REVERSAL,5,5,1.8840,0.370104
WIN,2025-12-01T11:52:18.280662+00:00,2025-11-24T23:59:59.999000+00:00,BTCUSDT,SHORT,88613.37142857,88247.10000000,100.00,0.00112850,1,0.4133,0.3914,0.021917,SIGNAL_REVERSAL,6,5,2.2754,0.394021
WIN,2025-12-01T11:52:18.311820+00:00,2025-11-25T00:29:59.999000+00:00,BTCUSDT,SHORT,88369.58214286,87846.30000000,100.00,0.00113161,1,0.5922,0.5703,0.021882,SIGNAL_REVERSAL,7,5,2.8457,0.417903
WIN,2025-12-01T11:52:18.340632+00:00,2025-11-25T02:14:59.999000+00:00,BTCUSDT,SHORT,88080.09986976,87751.30000000,270.00,0.00306539,3,1.0079,0.9487,0.059198,SIGNAL_REVERSAL,8,5,3.7944,0.482501
WIN,2025-12-01T11:52:18.398494+00:00,2025-11-25T03:14:59.999000+00:00,BTCUSDT,SHORT,87882.91785714,87765.90000000,100.00,0.00113788,1,0.1332,0.1112,0.021973,SIGNAL_REVERSAL,9,5,3.9056,0.506475
WIN,2025-12-01T11:52:18.424529+00:00,2025-11-25T04:29:59.999000+00:00,BTCUSDT,LONG,87626.94285714,87991.80000000,100.00,0.00114120,1,0.4164,0.3943,0.022083,SIGNAL_REVERSAL,10,5,4.2999,0.530558
LOSS,2025-12-01T11:52:18.484670+00:00,2025-11-25T06:14:59.999000+00:00,BTCUSDT,LONG,88086.25162310,88041.00000000,190.00,0.00215698,2,-0.0976,-0.1394,0.041780,SIGNAL_REVERSAL,10,6,4.1605,0.576139
WIN,2025-12-01T11:52:18.544148+00:00,2025-11-25T07:44:59.999000+00:00,BTCUSDT,SHORT,87959.55000000,87664.50000000,100.00,0.00113689,1,0.3354,0.3135,0.021933,SIGNAL_REVERSAL,11,6,4.4740,0.600072
WIN,2025-12-01T11:52:18.599771+00:00,2025-11-25T09:14:59.999000+00:00,BTCUSDT,SHORT,87496.35000000,86798.30000000,100.00,0.00114290,1,0.7978,0.7760,0.021840,SIGNAL_REVERSAL,12,6,5.2499,0.623912
LOSS,2025-12-01T11:52:18.633629+00:00,2025-11-25T10:14:59.999000+00:00,BTCUSDT,SHORT,87027.36387139,87011.40000000,270.00,0.00310247,3,0.0495,-0.0099,0.059390,SIGNAL_REVERSAL,12,7,5.2401,0.688702
WIN,2025-12-01T11:52:18.708794+00:00,2025-11-25T12:29:59.999000+00:00,BTCUSDT,LONG,87262.22142857,87581.80000000,100.00,0.00114597,1,0.3662,0.3442,0.022073,SIGNAL_REVERSAL,13,7,5.5842,0.712775
