order_id,symbol,side,price,quantity,notional_usd,placed_at,grid_level,atr_multiplier,status,filled_at,fill_price,fill_candle_time
efb76777-9ba7-4ec1-b2ee-becf46a95eee,BTCUSDT,BID,86273.18000000,0.00115911,100.00,2025-11-24T13:29:59.999000+00:00,1,0.50,PENDING,,,
b8576245-68ad-4ce0-8b4a-7d195731886b,BTCUSDT,BID,86080.66000000,0.00104553,90.00,2025-11-24T13:29:59.999000+00:00,2,1.00,PENDING,,,
ef7ac6e6-d15c-4e05-8671-5e45eaf13d6b,BTCUSDT,BID,85888.14000000,0.00093144,80.00,2025-11-24T13:29:59.999000+00:00,3,1.50,PENDING,,,
efb76777-9ba7-4ec1-b2ee-becf46a95eee,BTCUSDT,BID,86273.18000000,0.00115911,100.00,2025-11-24T13:29:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:17.918284+00:00,86273.18000000,2025-11-24T13:29:59.999000+00:00
b8576245-68ad-4ce0-8b4a-7d195731886b,BTCUSDT,BID,86080.66000000,0.00104553,90.00,2025-11-24T13:29:59.999000+00:00,2,1.00,FILLED,2025-12-01T11:52:17.926062+00:00,86080.66000000,2025-11-24T13:59:59.999000+00:00
1cd90724-69b4-483a-bcf2-e63c127b565d,BTCUSDT,BID,85742.67142857,0.00104965,90.00,2025-11-24T13:59:59.999000+00:00,2,1.00,PENDING,,,
09890bac-38b6-4a87-aa8f-20c63fc99727,BTCUSDT,ASK,86203.95000000,0.00116004,100.00,2025-11-24T14:14:59.999000+00:00,1,0.50,PENDING,,,
c1cde0d6-3ba4-4a83-b1d7-f6e2598eaebc,BTCUSDT,ASK,86384.90000000,0.00104185,90.00,2025-11-24T14:14:59.999000+00:00,2,1.00,PENDING,,,
c353967a-4775-4dcb-b49c-5d07149b0414,BTCUSDT,ASK,86565.85000000,0.00092415,80.00,2025-11-24T14:14:59.999000+00:00,3,1.50,PENDING,,,
09890bac-38b6-4a87-aa8f-20c63fc99727,BTCUSDT,ASK,86203.95000000,0.00116004,100.00,2025-11-24T14:14:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:17.955444+00:00,86203.95000000,2025-11-24T14:44:59.999000+00:00
c1cde0d6-3ba4-4a83-b1d7-f6e2598eaebc,BTCUSDT,ASK,86384.90000000,0.00104185,90.00,2025-11-24T14:14:59.999000+00:00,2,1.00,FILLED,2025-12-01T11:52:17.955467+00:00,86384.90000000,2025-11-24T14:44:59.999000+00:00
c353967a-4775-4dcb-b49c-5d07149b0414,BTCUSDT,ASK,86565.85000000,0.00092415,80.00,2025-11-24T14:14:59.999000+00:00,3,1.50,FILLED,2025-12-01T11:52:17.955515+00:00,86565.85000000,2025-11-24T14:44:59.999000+00:00
3c311cb1-db49-4953-aaa8-bb3791496241,BTCUSDT,BID,86307.30000000,0.00115865,100.00,2025-11-24T15:59:59.999000+00:00,1,0.50,PENDING,,,
fafa5beb-84d2-4a7c-a711-a1646bd88873,BTCUSDT,BID,86043.60000000,0.00104598,90.00,2025-11-24T15:59:59.999000+00:00,2,1.00,PENDING,,,
bb9aee0d-0ae8-4abf-b569-7ea26e196b87,BTCUSDT,BID,85779.90000000,0.00093262,80.00,2025-11-24T15:59:59.999000+00:00,3,1.50,PENDING,,,
3c311cb1-db49-4953-aaa8-bb3791496241,BTCUSDT,BID,86307.30000000,0.00115865,100.00,2025-11-24T15:59:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:17.990200+00:00,86307.30000000,2025-11-24T15:59:59.999000+00:00
d453d1ed-4d97-4be9-a281-a67426bc293e,BTCUSDT,BID,86909.76071429,0.00115062,100.00,2025-11-24T16:29:59.999000+00:00,1,0.50,PENDING,,,
42c4130a-fe05-42d9-8ead-39c78e147e4f,BTCUSDT,BID,86634.02142857,0.00103885,90.00,2025-11-24T16:29:59.999000+00:00,2,1.00,PENDING,,,
03e18c1b-ddfe-44ab-ae20-0d0e5ae129b9,BTCUSDT,BID,86358.28214286,0.00092637,80.00,2025-11-24T16:29:59.999000+00:00,3,1.50,PENDING,,,
d453d1ed-4d97-4be9-a281-a67426bc293e,BTCUSDT,BID,86909.76071429,0.00115062,100.00,2025-11-24T16:29:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:18.013396+00:00,86909.76071429,2025-11-24T16:29:59.999000+00:00
b8a38112-0288-48bb-9558-894d6e460754,BTCUSDT,BID,87578.32500000,0.00114184,100.00,2025-11-24T17:44:59.999000+00:00,1,0.50,PENDING,,,
bdf51982-3652-4207-ae1d-eb2503a66bdc,BTCUSDT,BID,87276.05000000,0.00103121,90.00,2025-11-24T17:44:59.999000+00:00,2,1.00,PENDING,,,
94d81031-eaa0-4ed5-9b07-660c6469d831,BTCUSDT,BID,86973.77500000,0.00091982,80.00,2025-11-24T17:44:59.999000+00:00,3,1.50,PENDING,,,
90217c2a-e59e-4d29-b8ab-2f41d878a87f,BTCUSDT,BID,88147.65357143,0.00113446,100.00,2025-11-24T18:14:59.999000+00:00,1,0.50,PENDING,,,
c356f088-f0f7-4f35-8965-a5c2a946e467,BTCUSDT,BID,87861.90714286,0.00102433,90.00,2025-11-24T18:14:59.999000+00:00,2,1.00,PENDING,,,
5834f569-b4e8-41e7-a450-02f491f59063,BTCUSDT,BID,87576.16071429,0.00091349,80.00,2025-11-24T18:14:59.999000+00:00,3,1.50,PENDING,,,
90217c2a-e59e-4d29-b8ab-2f41d878a87f,BTCUSDT,BID,88147.65357143,0.00113446,100.00,2025-11-24T18:14:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:18.059026+00:00,88147.65357143,2025-11-24T18:14:59.999000+00:00
ec2b6705-a7aa-41bd-b4f1-ac229d8741d0,BTCUSDT,BID,88400.92500000,0.00113121,100.00,2025-11-24T19:14:59.999000+00:00,1,0.50,PENDING,,,
4237fbd3-7a97-4ad7-9df2-20809963567d,BTCUSDT,BID,88175.85000000,0.00102069,90.00,2025-11-24T19:14:59.999000+00:00,2,1.00,PENDING,,,
5fc574be-d094-42f3-afd2-ca9904033961,BTCUSDT,BID,87950.77500000,0.00090960,80.00,2025-11-24T19:14:59.999000+00:00,3,1.50,PENDING,,,
ec2b6705-a7aa-41bd-b4f1-ac229d8741d0,BTCUSDT,BID,88400.92500000,0.00113121,100.00,2025-11-24T19:14:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:18.083889+00:00,88400.92500000,2025-11-24T19:44:59.999000+00:00
13782f69-4823-4891-ad19-8f563329f5a2,BTCUSDT,BID,88170.97500000,0.00113416,100.00,2025-11-24T19:44:59.999000+00:00,1,0.50,PENDING,,,
b1ad56e3-f8f3-4e5a-9c9c-951dd5a4a3f2,BTCUSDT,ASK,88492.18214286,0.00113004,100.00,2025-11-24T19:59:59.999000+00:00,1,0.50,PENDING,,,
1a347447-b7cc-478a-a50e-8d6a173a08bb,BTCUSDT,ASK,88707.36428571,0.00101457,90.00,2025-11-24T19:59:59.999000+00:00,2,1.00,PENDING,,,
7a42a0e2-9e4d-49b1-bd6f-af9891192794,BTCUSDT,ASK,88922.54642857,0.00089966,80.00,2025-11-24T19:59:59.999000+00:00,3,1.50,PENDING,,,
b1ad56e3-f8f3-4e5a-9c9c-951dd5a4a3f2,BTCUSDT,ASK,88492.18214286,0.00113004,100.00,2025-11-24T19:59:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:18.116306+00:00,88492.18214286,2025-11-24T20:14:59.999000+00:00
6e5d4b30-cf96-4d80-bf01-c16e18299c85,BTCUSDT,ASK,88813.71428571,0.00112595,100.00,2025-11-24T20:14:59.999000+00:00,1,0.50,PENDING,,,
1a347447-b7cc-478a-a50e-8d6a173a08bb,BTCUSDT,ASK,88707.36428571,0.00101457,90.00,2025-11-24T19:59:59.999000+00:00,2,1.00,FILLED,2025-12-01T11:52:18.116323+00:00,88707.36428571,2025-11-24T20:14:59.999000+00:00
61b6fe16-bde9-43f2-aa02-63727d09bf1a,BTCUSDT,ASK,89027.42857143,0.00101092,90.00,2025-11-24T20:14:59.999000+00:00,2,1.00,PENDING,,,
5d740d50-2f15-4b5c-92d7-c3135f8c3f14,BTCUSDT,BID,88636.10000000,0.00112821,100.00,2025-11-24T20:29:59.999000+00:00,1,0.50,PENDING,,,
751ef246-feaa-4be3-9bcc-5c444a32395f,BTCUSDT,BID,88431.30000000,0.00101774,90.00,2025-11-24T20:29:59.999000+00:00,2,1.00,PENDING,,,
81fc2bf9-a2a8-43d9-9151-6575b5d76670,BTCUSDT,BID,88226.50000000,0.00090676,80.00,2025-11-24T20:29:59.999000+00:00,3,1.50,PENDING,,,
5d740d50-2f15-4b5c-92d7-c3135f8c3f14,BTCUSDT,BID,88636.10000000,0.00112821,100.00,2025-11-24T20:29:59.999000+00:00,1,0.50,FILLED,2025-12-01T11:52:18.160633+00:00,88636.10000000,2025-11-24T20:29:59.999000+00:00
9d41ac66-46ea-4daf-96b7-23335c9f1f1d,BTCUSDT,BID,88836.37500000,0.00112567,100.00,2025-11-24T20:59:59.999000+00:00,1,0.50,PENDING,,,
